"Sygnatura czasowa","Age","Primary streaming service","Hours per day","While working","Instrumenalist","Composer","Fav genre","Exploratory","Foreign languages","BPM","Frequency [Classical]","Frequency [Country]","Frequency [EDM]","Frequency [Folk]","Frequency [Gospel]","Frequency [Hip hop]","Frequency [Jazz]","Frequency [K pop]","Frequency [Latin]","Frequency [Lofi]","Frequency [Metal]","Frequency [Pop]","Frequency [R&B]","Frequency [Rap]","Frequency [Rock]","Frequency [Video game music]","Anxiety","Depression","Insomnia","OCD","Music effects"
"2023/06/07 6:41:16 PM EEST","21","YouTube Music","3.2","Yes","No","No","Hip hop","Yes","Yes","136","Sometimes","Rarely","Very frequently","Rarely","Very frequently","Very frequently","Rarely","Never","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Very frequently","Rarely","Very frequently","8","9","2","7","No effect"
"2023/06/07 6:42:43 PM EEST","20","Spotify","10","Yes","Yes","Yes","Hip hop","Yes","No","120","Very frequently","Never","Very frequently","Never","Rarely","Very frequently","Sometimes","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Sometimes","Rarely","7","4","2","2","Improve"
"2023/06/07 6:43:56 PM EEST","20","Spotify","4","Yes","Yes","No","Video game music","Yes","No","140","Rarely","Never","Rarely","Very frequently","Never","Never","Rarely","Never","Never","Never","Sometimes","Rarely","Never","Never","Very frequently","Very frequently","7","5","0","4","No effect"
"2023/06/07 6:46:10 PM EEST","21","Spotify","1","Yes","No","No","Classical","No","No","80","Very frequently","Never","Never","Never","Never","Sometimes","Rarely","Never","Never","Never","Rarely","Rarely","Never","Rarely","Very frequently","Never","3","0","0","0","Improve"
"2023/06/07 6:48:15 PM EEST","20","Spotify","3","Yes","No","No","Rock","Yes","Yes","120","Rarely","Never","Rarely","Never","Never","Sometimes","Never","Rarely","Very frequently","Never","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Rarely","0","0","0","0","No effect"
"2023/06/07 6:48:41 PM EEST","20","Spotify","3.0","Yes","No","No","Rock","No","Yes","150","Rarely","Rarely","Very frequently","Never","Never","Sometimes","Never","Never","Sometimes","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Very frequently","7","5","0","1","Improve"
"2023/06/07 6:49:55 PM EEST","20","YouTube Music","6","Yes","No","No","Rap","Yes","Yes","142","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Very frequently","Sometimes","Rarely","Never","Very frequently","Sometimes","Very frequently","Very frequently","Very frequently","Rarely","Rarely","3","3","0","1","Improve"
"2023/06/07 6:51:33 PM EEST","21","Spotify","4","Yes","No","No","Metal","Yes","Yes","-","Rarely","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Very frequently","Sometimes","5","4","0","6","Improve"
"2023/06/07 6:52:19 PM EEST","21","Spotify","3","Yes","Yes","No","Metal","No","Yes","125","Never","Rarely","Rarely","Never","Never","Rarely","Never","Never","Never","Never","Very frequently","Very frequently","Never","Rarely","Very frequently","Never","8","8","0","2","Improve"
"2023/06/07 6:56:33 PM EEST","20","Spotify","0.5","No","No","No","Rap","No","Yes","100","Never","Sometimes","Rarely","Never","Never","Sometimes","Never","Never","Never","Never","Never","Very frequently","Rarely","Very frequently","Never","Rarely","6","0","0","0","Improve"
